origin_country,total_flights,avg_velocity,avg_altitude,on_ground_count
Algeria,10,168.523,7236.46,1
Argentina,8,214.21625,9771.6975,0
Armenia,1,215.31,9403.08,0
Australia,237,117.43679324894515,6067.482035928144,68
Austria,111,135.87387387387386,5719.949072164949,12
Azerbaijan,6,206.14499999999998,10317.48,0
Bahrain,2,124.57,9444.99,0
Bangladesh,10,125.191,5114.925,2
Belarus,3,208.25,8013.7,0
Belgium,33,95.72696969696969,6586.643333333333,15
Bhutan,2,105.62,4983.48,0
Brazil,71,192.40591549295775,8811.969705882351,1
Brunei Darussalam,1,240.79,11079.48,0
Bulgaria,9,123.45444444444443,6031.2300000000005,3
Canada,87,191.12022988505746,9123.045,15
Chile,19,189.4678947368421,8519.583333333334,1
China,224,178.56285714285715,7373.526910994764,22
Colombia,2,233.385,11277.599999999999,0
Croatia,7,164.98714285714286,7400.108571428571,0
Czech Republic,37,91.20162162162163,3803.570625,4
Côte d'Ivoire,1,248.4,11430.0,0
Denmark,19,153.46263157894737,6195.483333333334,1
Dominican Republic,1,274.52,13555.98,0
Egypt,23,197.3808695652174,9567.075652173913,0
Estonia,11,119.96454545454544,9302.75,5
Ethiopia,6,218.19333333333336,9838.69,0
Fiji,1,164.06,2987.04,0
Finland,41,153.4490243902439,6481.942702702703,3
France,216,135.30392523364486,5366.365360824742,18
Georgia,5,151.41199999999998,10657.84,2
Germany,295,141.70999999999998,6283.96,39
Greece,40,175.54649999999998,8095.117297297298,2
Hungary,47,166.9095744680851,7560.4914285714285,5
Iceland,6,174.34,7153.656,1
India,193,163.90108808290157,7268.0110843373495,24
Indonesia,37,180.84027027027028,6695.44,0
Ireland,215,186.28604651162792,8791.662030456853,18
Israel,10,220.419,10696.194,0
Italy,49,116.70081632653061,3958.7556521739134,3
Japan,191,161.19539267015708,7285.925696202532,32
Jordan,7,172.44714285714286,8973.094285714285,0
Kazakhstan,7,181.72857142857143,10241.28,0
Kenya,6,125.55666666666666,4645.66,0
Kingdom of the Netherlands,79,161.16949367088606,6581.5633333333335,7
Kuwait,1,268.87,12306.3,0
Latvia,15,157.29733333333334,5875.0199999999995,1
Lebanon,3,205.00333333333333,7894.32,0
Libyan Arab Jamahiriya,1,261.15,10104.12,0
Lithuania,6,149.025,7463.028,1
Luxembourg,18,167.67277777777778,6055.210588235294,1
Malaysia,55,189.82618181818182,7989.196470588236,3
Malta,118,186.4793220338983,8662.82146788991,9
Mexico,42,217.2802380952381,10392.00731707317,0
Mongolia,1,203.57,11163.3,0
Morocco,16,214.666875,10336.053750000001,0
Myanmar,2,147.315,4461.51,0
Nepal,1,263.85,10393.68,0
New Zealand,16,155.15375,7112.9769230769225,3
Nigeria,1,128.3,5989.32,0
Norway,41,159.92365853658535,6985.735263157895,3
Oman,2,191.075,6488.43,0
Pakistan,1,87.41,1211.58,0
Panama,18,238.24333333333334,11002.831764705883,0
Philippines,37,161.6218918918919,5574.356571428571,1
Poland,99,132.80353535353535,5917.90465116279,8
Portugal,45,171.73888888888888,7891.054285714286,3
Qatar,20,144.3695,9793.605,4
Republic of Korea,104,183.84115384615384,7443.231875,7
Republic of Moldova,3,205.28,8260.08,0
Romania,13,121.54076923076923,5504.815,1
Russian Federation,39,157.73153846153846,8454.521379310345,0
Rwanda,1,69.88,1226.82,0
San Marino,3,176.3166666666667,7713.98,0
Saudi Arabia,11,213.80999999999997,9649.69090909091,0
Senegal,1,284.9,9791.7,0
Serbia,3,98.14666666666666,6103.62,1
Seychelles,1,236.21,11308.08,0
Singapore,33,194.98121212121214,7693.250322580646,2
Slovakia,3,128.94333333333333,5300.9800000000005,0
Slovenia,5,56.477999999999994,1217.676,0
South Africa,36,146.80916666666667,5913.337714285714,1
Spain,173,168.2971511627907,6801.150181818182,5
Sri Lanka,3,230.57333333333335,11074.4,0
Sweden,66,174.75848484848484,7452.110163934426,4
Switzerland,89,99.26842696629213,5362.231475409836,28
Syrian Arab Republic,1,223.7,9555.48,0
Taiwan,65,172.2776923076923,7078.311578947369,7
Thailand,60,165.81433333333334,6608.172857142857,4
Tunisia,7,201.04285714285714,10261.962857142858,0
Turkey,206,209.68606796116507,9448.347326732674,4
Ukraine,2,203.35500000000002,10538.46,0
United Arab Emirates,50,195.45579999999998,9595.525531914895,2
United Kingdom,323,173.12399380804953,7580.3039189189185,25
United States,942,190.16579617834395,8604.196338028169,86
Uzbekistan,5,217.46999999999997,10523.22,0
Viet Nam,17,204.94,8156.089411764705,0
